name,n_test,LR_MAE,LR_RMSE,LR_R2,RF_MAE,RF_RMSE,RF_R2
FE,249,0.26157382989383043,0.3830047668707976,0.9312303808854642,0.26622864902879007,0.3851127464336506,0.9304713100180995
CHK,249,0.10969341610664878,0.14413306298226464,0.9668599909640994,0.26736618593559236,0.3361644496370061,0.8197277173705159
HPE,114,0.24198913321519996,0.47668979376370074,0.8299073852292073,0.2684911604564731,0.495924504134579,0.8159037738062309
FITB,249,0.26732392035071545,0.3551809341106121,0.9788596917298119,0.2685188271261562,0.3586203776329446,0.978448279166154
FCX,249,0.26048267462868435,0.36103876070079316,0.9749800830185922,0.2694405395489683,0.3642295112914385,0.9745358920316121
PHM,249,0.2620622633442684,0.3511944445614899,0.9928315519944941,0.26961501154773926,0.3595823828169934,0.9924850399376747
HBI,249,0.26567158677363123,0.36699590257369585,0.9474159893287157,0.26986625838130235,0.37313676234594695,0.9456415137428866
LNT,249,0.2681411016155418,0.33705783818676266,0.9662468105494725,0.27358157148965284,0.34135679194305335,0.9653803197942677
L,249,0.2686000465409299,0.3858415650705894,0.9479749734717446,0.27481156884835256,0.3906696878104882,0.9466648255111426
XEL,249,0.2732089034406618,0.34240291980563625,0.9794257656426972,0.2749474475708699,0.34725175239999945,0.9788389284419596
LKQ,249,0.2746679684814167,0.3738391160637543,0.9915393028317855,0.2774170513212763,0.3783171577558898,0.9913353954803951
EXC,249,0.278215627472115,0.3745996373606108,0.9654307920452224,0.2785586369770658,0.37580313959820394,0.9652083094414559
CMS,249,0.27511360978315014,0.34980706887033947,0.9623041792396396,0.2803635561314367,0.356843814912244,0.9607723412886835
GGP,249,0.2779661080033122,0.4075434325936627,0.8946441140805808,0.28224063543249844,0.4098311513402199,0.8934579773203627
JNPR,249,0.2821460509444457,0.4334478790526298,0.8895204241348481,0.28370765313616997,0.43601995157803886,0.8882053659687579
WMB,249,0.28175288731374754,0.37561992344985595,0.9103051264385427,0.2853427098679527,0.37495769783401056,0.9106211154424175
CAG,249,0.2875677161776215,0.389759725588685,0.977580297151617,0.28733984597419393,0.38914784840723526,0.977650634519888
XRX,249,0.28532251576092094,0.41474082730405526,0.9466385349621952,0.28759190621430814,0.4184800206741572,0.9456720119066179
HRL,249,0.2878301147454941,0.42055491311167514,0.9446526170255416,0.2903646605817106,0.4182770801846501,0.9452505445166015
MRO,249,0.27419198161175,0.49176031949096904,0.9465957024267009,0.2974253143767836,0.5078414816997864,0.9430458221582154
AIV,249,0.29836717183850126,0.39120292880007296,0.9102652837678574,0.3011193489009971,0.39476464922212656,0.9086238598536532
IVZ,249,0.3036749257122582,0.42510297390067703,0.9616360160128836,0.3047244506612643,0.42508318932430766,0.9616395869006689
SO,249,0.3124498544749835,0.40328883705310536,0.9588018081837603,0.30985383395109184,0.40075108749699667,0.9593186672372719
UA,90,0.30942198565563667,0.5095460366640868,0.8841718341012823,0.3117032037547498,0.4896259076138456,0.8930511539896221
PEG,249,0.3070711293650433,0.40557593080988075,0.9816555932462505,0.3118792692092752,0.41349460771495145,0.9809322686177264
T,249,0.30947809450401953,0.44656085274036933,0.9589637494033715,0.31237335476334344,0.4482078621977175,0.9586604907095085
DISCK,249,0.3106464870436394,0.4425058666061863,0.9860480071595121,0.31324659968875773,0.4447348601089904,0.9859070950065117
BLL,249,0.3135273410847268,0.4475961413352671,0.9497326196900242,0.3137310683705805,0.44548326520847986,0.9502060735874281
MAT,249,0.3117536610688482,0.5034523334674623,0.9833592467605109,0.31490248966300005,0.507963315594091,0.9830597052333274
MDLZ,249,0.31494974315161406,0.4700388157511374,0.9169224705115396,0.3168391114923022,0.47111870533366007,0.916540299452987
CTL,249,0.3166248806169358,0.4388436155736906,0.9851623952963724,0.32076835069637133,0.44221460170114774,0.9849335690698096
CSRA,110,0.32248890043254935,0.45234072892732297,0.9036324996453304,0.3222367636766173,0.45675453221527357,0.9017426747109198
AMD,249,0.30447411606022634,0.45857511951394603,0.8663064118107744,0.3230938218521503,0.4816177065909563,0.8525331192014487
PGR,249,0.32446553974837566,0.45552173004066954,0.9934879054414402,0.3235880337210745,0.45332606818837284,0.9935505320819663
MAS,249,0.32160958154227604,0.425777287066644,0.9835686674636632,0.3247731350248769,0.4284957833054301,0.9833581765968011
COG,249,0.3146576361610964,0.42286137459803086,0.9586982904740928,0.32556449029041173,0.4344410133202077,0.9564053064080941
INFO,181,0.32494160591080157,0.5105002398146022,0.8916932076330136,0.3259695874630064,0.5103231234868277,0.8917683479448879
CDNS,249,0.32565161208881044,0.47201003006410797,0.9906670367276812,0.3261390360139779,0.47499574068953526,0.9905485915343342
UAA,249,0.32547155762834606,0.4899335994710558,0.9718505646122981,0.3272575729577358,0.488999583567247,0.9719577912186619
DISCA,249,0.3316099016829158,0.46384998683992035,0.9830867211855091,0.32764172424200155,0.45829479394182226,0.9834894112991998
GT,249,0.33111448596391607,0.4943153823031622,0.9444441888653934,0.3295029571159878,0.4937906248446482,0.9445620806120104
IRM,249,0.3324140312529717,0.46623569124198144,0.9590123063976297,0.33076340602910426,0.4628814627062967,0.9595999385843865
SYMC,249,0.3332257510331098,0.4670480134132168,0.9278707427534861,0.332494868950696,0.46624623779374924,0.9281181770170032
NRG,249,0.33255275685813174,0.5048528494363937,0.9887862567489251,0.3351373980788818,0.5077759511835794,0.9886560255039206
MOS,249,0.3362559840501856,0.46038480096530543,0.9806205236382369,0.33712562265503093,0.4629953377556874,0.9804001242269224
CHD,249,0.3355436668203364,0.46520499825804307,0.9564624139157518,0.34171209046823076,0.4660979007699801,0.9562951236768724
ORCL,249,0.33751954618003926,0.5806575680907516,0.9566730629103647,0.34179401173797264,0.5806765766431798,0.9566702261408779
CBG,249,0.3388744929243433,0.4554160313202713,0.9845016368740395,0.3431658067848821,0.45926258107336393,0.9842387256773859
INTC,249,0.34307189137457195,0.5748651640869439,0.983161255715238,0.3462877718330656,0.5809197962289891,0.9828046875888975
ADM,249,0.34452165790177286,0.5206876277065844,0.9177394616375953,0.34787476429090014,0.525840461211517,0.916103270521845
USB,249,0.3546392181665272,0.48193449378506437,0.9280702171429788,0.3482340445497175,0.4762544382497296,0.9297557470328748
KR,249,0.34523580178657787,0.5799791555826959,0.9773627325181842,0.34884420679025674,0.5825707520078599,0.9771599744195217
FLIR,249,0.35502496068280454,0.5277994815554249,0.9896447617172897,0.35059587862504493,0.5239694091129837,0.9897945057371914
ABT,249,0.3517080157728884,0.5085139149690748,0.9910725554287091,0.35069884101578325,0.506843203059857,0.9911311209300873
EBAY,249,0.3524736335551899,0.585779337058229,0.932485881801269,0.35305763352833747,0.5825697849878254,0.9332236901509308
HOLX,249,0.3558999117589734,0.530597264311842,0.9646895109470973,0.3533200803203585,0.5325085283825652,0.9644346690086293
SYF,175,0.3522227033513561,0.4873654232453638,0.9834746170760866,0.35652141886887395,0.48887738521679136,0.9833719240814329
ARNC,249,0.34994704361169965,0.5142390132641851,0.9268306795531731,0.35750374493483666,0.5227496587874298,0.9243887367217338
FOX,231,0.3553128794969593,0.4888703124377584,0.9791430456137408,0.3597051266928851,0.4891602396935129,0.979118299612611
HRB,249,0.3509635911304814,0.5265971340749143,0.9634608413025093,0.3599340022758127,0.5322189623985412,0.9626765097697784
BEN,249,0.35895637623421045,0.4989042356620819,0.8884990407157963,0.36016218817503426,0.5020641310091358,0.8870821470009058
SEE,249,0.3619879977056292,0.5187680578632414,0.9265124239665081,0.36091897623790886,0.5204249612314757,0.9260422475201662
FOXA,231,0.3612619548775726,0.5118611827521327,0.977407935422756,0.36240319908075114,0.5134053521058675,0.9772714195216519
AEE,249,0.3665160752805163,0.46973645499397076,0.9751279406293616,0.3646369500120486,0.4678414276936798,0.9753282153057379
RSG,249,0.3590994958312551,0.5274143328000227,0.9241290078938081,0.36471069046435295,0.5323518262885663,0.9227017958872519
HIG,249,0.3595261479012911,0.5082335698675177,0.9759975510753183,0.36690935067407243,0.5135401036454056,0.9754937089206915
AJG,249,0.3803926290774011,0.5666119774932313,0.9765595881974544,0.371788508097383,0.5668100116479562,0.9765432002158182
BBT,249,0.370059826204892,0.5169183116772971,0.9733241026564731,0.37249908160422635,0.5234211202577228,0.972648717933119
DHI,249,0.3763031004205498,0.5190323580680237,0.9944133878633529,0.3732175769719931,0.5147861992707402,0.994504421146934
BK,249,0.37261910345649496,0.5315564382095341,0.9730724167455602,0.37454170548542115,0.5320858497269557,0.9730187521831164
PWR,249,0.37459448688518815,0.49877825259379827,0.9537127611576091,0.3754927226121177,0.5000648637497541,0.9534736549508955
VZ,249,0.3741618331192862,0.5387846466732032,0.9593598774738405,0.37629711076816474,0.5410401304227753,0.9590189063692958
GM,249,0.37440114735528596,0.523183292065845,0.9834828571899502,0.37654610639095293,0.5229438102088133,0.9834979748390996
JCI,249,0.37580993407122193,0.531487646367836,0.9245641910613225,0.38078433564591596,0.5401923259952633,0.9220729881123403
WEC,249,0.38340630575410245,0.4852736932570261,0.9721403404499809,0.38306751320064886,0.48492461193765174,0.9721804076900096
FTI,249,0.3865300385368975,0.5127211877879931,0.9623730355274037,0.3866108848931304,0.5144826610449246,0.9621140536671906
CMCSA,249,0.38550756956366483,0.5196388227264365,0.9145317687222003,0.3870392435286016,0.5224877455831344,0.9135920395827638
MGM,249,0.3860103108942651,0.5162540600152739,0.9627162328167419,0.3878836408951344,0.518096170154089,0.9624496844440682
ES,247,0.3844803036505284,0.5427820558703207,0.9272384257101011,0.39200472787848295,0.5438351276580414,0.9269558169170612
UNM,249,0.3945094452635337,0.5614836337212484,0.9758228447957915,0.39256092804892273,0.55913845197502,0.976024387312503
GPS,249,0.390913919984894,0.5417579148090326,0.9816289348,0.3935718420401532,0.54487023259563,0.9814172504779832
SYY,249,0.3905613785764813,0.6190379937440585,0.9701022999873979,0.39357868088930564,0.6208861541114923,0.9699235121623742
LEG,249,0.3897223732645259,0.5680802699971023,0.9521054776685783,0.3943683622571971,0.5764024550591907,0.9506919215819218
NEM,249,0.39242642244552317,0.5315435456780155,0.9420254936939092,0.39486854693931817,0.5366260583922341,0.9409115120103022
MON,249,0.3939050447277307,0.5415541673495722,0.9557272941385719,0.39548948451019506,0.5501449653568689,0.9543115370827587
XL,249,0.39950469702031866,0.6301012962159401,0.9529307727380719,0.39780749259007053,0.6297476983481358,0.9529835861777797
AME,249,0.39884369890308213,0.5689523000885701,0.9929462873554857,0.40066497817381097,0.5728806195185256,0.9928485466648992
EQR,249,0.3985296346699935,0.5289598859836866,0.953006407898755,0.40461007365647284,0.5354595326263649,0.9518444357946055
CFG,167,0.407493188746687,0.5348513772729977,0.9816975780479936,0.4072833817612288,0.5330201788021426,0.9818226894129846
WM,249,0.40457732935640994,0.6429264648644101,0.9846920679099409,0.4074252125522247,0.6529077000186266,0.9842130765999841
ETFC,249,0.41459090403768817,0.5882585101976195,0.9903551780328727,0.41746953559599437,0.5877023581030973,0.9903734062513557
BAX,249,0.41642428991386166,0.5936591960885177,0.9884050635121805,0.41814530782746195,0.5949605971486132,0.9883541716796982
AEP,249,0.41735501786980167,0.5341100696733782,0.9745272047650541,0.4226542889189669,0.5388735624066628,0.9740708173325154
SBUX,249,0.41814710279318484,0.6345212833880589,0.9412184453172063,0.42268885886368895,0.635424806254241,0.9410509228295146
TXT,249,0.42269609811440917,0.5766100768278535,0.9803500420806563,0.4233147763343448,0.5789302094896256,0.980191591046489
